aact_name,pref_name,ik14,standard_inchi_key
ephedrine 3mg,RACEPHEDRINE,KWGRBVOPPLSCSI,KWGRBVOPPLSCSI-UHFFFAOYSA-N
Levocetirizine oral solution,LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
Levocetirizine (drug),LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
Kemstro,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
licarbazepine,LICARBAZEPINE,BMPDWHIDQYTSHX,BMPDWHIDQYTSHX-UHFFFAOYSA-N
doxil,DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
CH-1504,CH-1504,NAWXUBYGYWOOIX,NAWXUBYGYWOOIX-UHFFFAOYSA-N
albuterol (Ventolin),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
intravenous ibuprofen,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
tetrabenazine,TETRABENAZINE,MKJIEFSOBYUXJB,MKJIEFSOBYUXJB-UHFFFAOYSA-N
Zyrtec® Tablets 10 mg,CETIRIZINE HYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-UHFFFAOYSA-N
Pseudoephedrine 120 mg,PSEUDOEPHEDRINE,KWGRBVOPPLSCSI,KWGRBVOPPLSCSI-WCBMZHEXSA-N
"LEVOTHYROXINE SODIUM TABLETS,",LEVOTHYROXINE,XUIIKFGFIJCVMT,XUIIKFGFIJCVMT-LBPRGKRZSA-N
Levothyroxine Sodium Tablets 200 mg,LEVOTHYROXINE,XUIIKFGFIJCVMT,XUIIKFGFIJCVMT-LBPRGKRZSA-N
Zyrtec® 10 mg,CETIRIZINE HYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-UHFFFAOYSA-N
albuterol sulfate extended-release 8 mg tablets,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Zavesca (Miglustat),MIGLUSTAT,UQRORFVVSGFNRO,UQRORFVVSGFNRO-UTINFBMNSA-N
Albuterol (Salbutamol),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Levalbuterol HCl,LEVOSALBUTAMOL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-LBPRGKRZSA-N
Salbutamol (200 µg),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Modafinil (Vigil),MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
levalbuterol HCl,LEVOSALBUTAMOL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-LBPRGKRZSA-N
albuterol Sulfate,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Levalbuterol 1.25 mg,LEVOSALBUTAMOL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-LBPRGKRZSA-N
cetirizine dihydrochloride (rescue medication),CETIRIZINE HYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-UHFFFAOYSA-N
Caelyx (pegylated liposomal doxorubicin; SCH 200746),DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
dex-methylphenidate,DEXMETHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-OJERSXHUSA-N
levofloxacin oral solution,LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
Xenazine,TETRABENAZINE,MKJIEFSOBYUXJB,MKJIEFSOBYUXJB-UHFFFAOYSA-N
Ruxolitinib 25 mg,RUXOLITINIB,HFNKQEVNSGCOJV,HFNKQEVNSGCOJV-OAHLLOKOSA-N
albuterol (Armstrong Albuterol HFA),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Albuterol Sulfate (Provenetil-HFA),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Levocetirizine 1.25 mg,LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
chirocaine (Levobupivacaine),LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Milnacipran hydrochloride,"1R,2S-MILNACIPRAN",GJJFMKBJSRMPLA,GJJFMKBJSRMPLA-HIFRSBDPSA-N
Sorafenib (Bay 43-9006),SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
amlodipine 10 mg,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Dynacirc CR (Isradipine),ISRADIPINE,HMJIYCCIJYRONP,HMJIYCCIJYRONP-UHFFFAOYSA-N
Arformoterol tartrate,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Caelyx (Pegylated Lyposomal Doxorubicin),DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
dexamethasone oral,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
dexamethasone injection,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Amlodipine 5 mg capsule,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
FM-602,LEVOGLUCOSE,WQZGKKKJIJFFOK,WQZGKKKJIJFFOK-ZZWDRFIYSA-N
Dex-Methylphenidate hydrochloride Extended Release (Focalin® XR),DEXMETHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-OJERSXHUSA-N
Arformoterol (Brovana),ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Zucapsaicin,ZUCAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-VURMDHGXSA-N
Duvoglustat,DUVOGLUSTAT,LXBIFEVIBLOUGU,LXBIFEVIBLOUGU-JGWLITMVSA-N
Amlodipine 10 mg capsules,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Levalbuterol HCl Inhalation Solution,LEVOSALBUTAMOL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-LBPRGKRZSA-N
Albuterol HCl Inhalation Solution,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Tretinoin Gel (tretinoin),TRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-YCNIQYBTSA-N
TRK-100STP (BERASUS LA),BERAPROST SODIUM,YTCZZXIRLARSET,YTCZZXIRLARSET-VJRSQJMHSA-M
Sifrol® (pramipexole dihydrochloride),PRAMIPEXOLE DIHYDROCHLORIDE,APVQOOKHDZVJEX,APVQOOKHDZVJEX-QTPLPEIMSA-N
Iobenguane I 123 Injection,IOBENGUANE I 123,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-IUAIQHPESA-N
Quinine Sulphate Tablets 300 mg,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
"modafinil (M1, M2, M4)",MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Ibuprofen 600 mg Extended-Release Tablets,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
25 mg Androxal,ENCLOMIPHENE CITRATE,PYTMYKVIJXPNBD,PYTMYKVIJXPNBD-BTKVJIOYSA-N
Sodium Fluoride (NaF),SODIUM FLUORIDE,PUZPDOWCWNUUKD,PUZPDOWCWNUUKD-UHFFFAOYSA-M
Liposomal doxorubicin hydrochloride,DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
Ivacaftor 75 mg/150 mg,IVACAFTOR,PURKAOJPTOLRMP,PURKAOJPTOLRMP-UHFFFAOYSA-N
Ivacaftor 25 mg/75 mg,IVACAFTOR,PURKAOJPTOLRMP,PURKAOJPTOLRMP-UHFFFAOYSA-N
Ketoconazole (NIZORAL) oral tablets (200 mg),LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
Formoterol (12 µg b.i.d.),ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Sorafenib (BAY 43-9006),SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Dextofisopam,DEXTOFISOPAM,RUJBDQSFYCKFAA,RUJBDQSFYCKFAA-HNNXBMFYSA-N
Ursodesoxycholic acid,URSODIOL,RUDATBOHQWOJDD,RUDATBOHQWOJDD-UZVSRGJWSA-N
Clomifene citrate,CLOMIPHENE,GKIRPKYJQBWNGO,GKIRPKYJQBWNGO-UHFFFAOYSA-N
Concerta (methylphenidate),METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
triiodothyronine (T3),LIOTHYRONINE,AUYYCJSJGJYCDS,AUYYCJSJGJYCDS-LBPRGKRZSA-N
Norvasc 10 mg,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
elvucitabine,ELVUCITABINE,HSBKFSPNDWWPSL,HSBKFSPNDWWPSL-VDTYLAMSSA-N
Tobradex (Antibiotic steroid combination),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Ketoconazole Cream,LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
doxorubicin hydrochloride (Adriamycin),DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Decadron®,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
epidoxorubicin,EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
Amlodipine (5mg),AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Epidoxorubicin,EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
"dexamethasone (Oradexon, Nederland)",DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Albuterol sulfate 108 mcg,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Proventil® HFA,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
TOBRADEX,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Cystadane,BETAINE,KWIUHFFTVRNATP,KWIUHFFTVRNATP-UHFFFAOYSA-O
d-Methadone,ESMETHADONE,USSIQXCVUWKGNF,USSIQXCVUWKGNF-KRWDZBQOSA-N
L-thyroxine (L-T4),LEVOTHYROXINE,XUIIKFGFIJCVMT,XUIIKFGFIJCVMT-LBPRGKRZSA-N
Dex-methylphenidate hydrochloride extended-release (Focalin XR),DEXMETHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-OJERSXHUSA-N
formoterol fumarate inhalation solution,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
pseudoephedrine hydrochloride,PSEUDOEPHEDRINE,KWGRBVOPPLSCSI,KWGRBVOPPLSCSI-WCBMZHEXSA-N
Doxorubicina,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Methadone (drug),METHADONE,USSIQXCVUWKGNF,USSIQXCVUWKGNF-UHFFFAOYSA-N
citalopram (cipralex),CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
Dexamethasone (pre- and post-medication for docetaxel),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Oral quinine,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
caelyx (pegylated liposomal doxorubicin),DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
salbutamol 100 mcg,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Methylphenidate (MPD),METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Quinine Sulfate,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
Epirubicin(EADM),EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
Dexamethasone 10 mg IV,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Ursodeoxycholic acid (UDCA),URSODIOL,RUDATBOHQWOJDD,RUDATBOHQWOJDD-UZVSRGJWSA-N
Ketamine (2st phase),KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
Ketamine (1st phase),KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
Dexamethasone (4 cycles),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Dexamethasone (1 cycle),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Methylphenidate (overencapsulated),METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Enclomiphene,ENCLOMIPHENE,GKIRPKYJQBWNGO,GKIRPKYJQBWNGO-OCEACIFDSA-N
Clomiphene citrate 5 mg,ENCLOMIPHENE CITRATE,PYTMYKVIJXPNBD,PYTMYKVIJXPNBD-BTKVJIOYSA-N
Ibuprofen (400 mg x 4),IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
Ibuprofen (200 mg x 4),IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
DaTSCAN™,IOFLUPANE I 123,HXWLAJVUJSVENX,HXWLAJVUJSVENX-HFIFKADTSA-N
sodium folinate,LEUCOVORIN SODIUM,FSDMNNPYPVJNAT,FSDMNNPYPVJNAT-RIWFDJIXSA-L
Levobupivacaine 5 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Levobupivacaine 30 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Levobupivacaine 25 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Levobupivacaine 20 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Levobupivacaine 15 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Levobupivacaine 10 mL,LEVOBUPIVACAINE HYDROCHLORIDE,SIEYLFHKZGLBNX,SIEYLFHKZGLBNX-NTISSMGPSA-N
Sodium Fluoride (0.05%),SODIUM FLUORIDE,PUZPDOWCWNUUKD,PUZPDOWCWNUUKD-UHFFFAOYSA-M
oral betamethasone,BETAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-DVTGEIKXSA-N
Nizoral®,KETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-UHFFFAOYSA-N
HP 129Xe,"XENON XE-129, HYPERPOLARIZED",FHNFHKCVQCLJFQ,FHNFHKCVQCLJFQ-YPZZEJLDSA-N
Liothyronine sodium,LIOTHYRONINE,AUYYCJSJGJYCDS,AUYYCJSJGJYCDS-LBPRGKRZSA-N
Quinine hydrochloride,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
Oral Baclofen,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
IV Baclofen,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
dexamethasone (tablets),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
oral methadone,METHADONE,USSIQXCVUWKGNF,USSIQXCVUWKGNF-UHFFFAOYSA-N
Esketamine 112 mg,ESKETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-ZDUSSCGKSA-N
IV Dexamethasone 8mg,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
IV Dexamethasone 6mg,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
IV Dexamethasone 4mg,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Intravenous Dexamethasone 1 mg,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
dexchlorpheniramine (Polaramine®) injection,DEXCHLORPHENIRAMINE MALEATE,DBAKFASWICGISY,DBAKFASWICGISY-DASCVMRKSA-N
Esketamine 50 mg,ESKETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-ZDUSSCGKSA-N
Esketamine 20 mg,ESKETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-ZDUSSCGKSA-N
IV atropine,ATROPINE,RKUNBYITZUJHSG,RKUNBYITZUJHSG-SPUOUPEWSA-N
(S)-ketamine (Pilot II),KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
(S)-ketamine (Main study),KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
"(R,S)-ketamine (Pilot III)",KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
"(R,S)-ketamine (Pilot II)",KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
"(R,S)-ketamine (Pilot I)",KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
Leucovorin (Calcium Folinate),LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Carnitor,LEVOCARNITINE,PHIQHXFUZVPYII,PHIQHXFUZVPYII-ZCFIWIBFSA-N
BACLOFEN,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
Escitalopram (Mirtazapine/Duloxetine/Venlafaxine),ESCITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-FQEVSTJZSA-N
Norvasc Tablet 10mg,AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
VESANOID,TRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-YCNIQYBTSA-N
URSO Forte,URSODIOL,RUDATBOHQWOJDD,RUDATBOHQWOJDD-UZVSRGJWSA-N
Sustained Release d-Amphetamine,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
Ausanil,CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
Ketoprofen gel,KETOPROFEN,DKYWVDODHFEZIM,DKYWVDODHFEZIM-UHFFFAOYSA-N
IV methylphenidate,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Fluorine F 18 Sodium Fluoride,SODIUM FLUORIDE F 18,PUZPDOWCWNUUKD,PUZPDOWCWNUUKD-ULWFUOSBSA-M
Ofloxacine,OFLOXACIN,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-UHFFFAOYSA-N
"Omeprazole (10 mg, A02BC01)",OMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-UHFFFAOYSA-N
Oral Omeprazole (OMP),OMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-UHFFFAOYSA-N
dexamethasone phosphate,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
pharmorubicin,EPIRUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-FGBSZODSSA-N
ibuprofen 600 mg,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
IV Caldolor,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
MIBG,IOBENGUANE I 131,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-JRGAVVOBSA-N
100 mg Modafinil,MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Flutemetamol (Vizamyl),FLUTEMETAMOL,VVECGOCJFKTUAX,VVECGOCJFKTUAX-UHFFFAOYSA-N
Dexamfetamine sulphate,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
Oral triiodothyronine,LIOTHYRONINE,AUYYCJSJGJYCDS,AUYYCJSJGJYCDS-LBPRGKRZSA-N
Levofolinate calcium (l-LV),LEVOLEUCOVORIN CALCIUM,KVUAALJSMIVURS,KVUAALJSMIVURS-QNTKWALQSA-L
Oral Albuterol Extended Release,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Clomifene citrate ( clomid 50 mg ),CLOMIPHENE,GKIRPKYJQBWNGO,GKIRPKYJQBWNGO-UHFFFAOYSA-N
Ruxolitinib Phosphate Cream,RUXOLITINIB,HFNKQEVNSGCOJV,HFNKQEVNSGCOJV-OAHLLOKOSA-N
Pirfenidone extended release,PIRFENIDONE,ISWRGOKTTBVCFA,ISWRGOKTTBVCFA-UHFFFAOYSA-N
Sorafenib (BAY43-9006) Oral suspension,SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Sorafenib (BAY43-9006) Film-coated tablet,SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
:2.5%ketoprofen gel,KETOPROFEN,DKYWVDODHFEZIM,DKYWVDODHFEZIM-UHFFFAOYSA-N
levomilnacipran,LEVOMILNACIPRAN,GJJFMKBJSRMPLA,GJJFMKBJSRMPLA-DZGCQCFKSA-N
Oral ketamine,KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
levofloxacin (oral),LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
Intravenous quinine,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
Fumaric acid,FUMARIC ACID,VZCYOOQTPOCHFL,VZCYOOQTPOCHFL-OWOJBTEDSA-N
Nuvigil,ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
Ibuprofene,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
Beraprost sodium (Berasil),BERAPROST SODIUM,YTCZZXIRLARSET,YTCZZXIRLARSET-VJRSQJMHSA-M
Lansoprazole Injection,LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Dexlansoprazole Injection,DEXLANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-RUZDIDTESA-N
D-Ribose Oral Powder,RIBOSE (PYRANOSE),SRBFZHDQGSBBOR,SRBFZHDQGSBBOR-TXICZTDVSA-N
L-Menthol,LEVOMENTHOL,NOOLISFMXDJSKH,NOOLISFMXDJSKH-KXUCPTDWSA-N
Leucovorin Calcium Injection,LEUCOVORIN CALCIUM,KVUAALJSMIVURS,KVUAALJSMIVURS-ZEDZUCNESA-L
"Propranolol 80 Mg Oral Capsule, Extended Release",PROPRANOLOL,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N
dexamethasone 8 mg,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Rubidium,RUBIDIUM,IGLNJRXAVVLDKE,IGLNJRXAVVLDKE-UHFFFAOYSA-N
Lansoprazole 30 mg,LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Salbutamol Sulphate,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Eslicarbazepine acetate (ESL),ESLICARBAZEPINE,BMPDWHIDQYTSHX,BMPDWHIDQYTSHX-AWEZNQCLSA-N
Ketamine Infusion (Group K),KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
modafinil 50mg,MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Formoterol Inhalation Solution,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
Ivacaftor 150 MG,IVACAFTOR,PURKAOJPTOLRMP,PURKAOJPTOLRMP-UHFFFAOYSA-N
2mg Dexamethasone,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
4mg Dexamethasone,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
levothyroxine sodium capsule,LEVOTHYROXINE,XUIIKFGFIJCVMT,XUIIKFGFIJCVMT-LBPRGKRZSA-N
folinic acid (dl racemic),LEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-ABLWVSNPSA-N
Ruxolitinib 20 MG,RUXOLITINIB,HFNKQEVNSGCOJV,HFNKQEVNSGCOJV-OAHLLOKOSA-N
Mirtazapine 30 mg oral tablets,MIRTAZAPINE,RONZAEMNMFQXRA,RONZAEMNMFQXRA-UHFFFAOYSA-N
Albuterol sulfate (ABS),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Oral Esomeprazol,ESOMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-DEOSSOPVSA-N
L-Folinic acid,LEVOLEUCOVORIN,VVIAGPKUTFNRDU,VVIAGPKUTFNRDU-STQMWFEESA-N
Baclofen 30mg,BACLOFEN,KPYSYYIEGFHWSV,KPYSYYIEGFHWSV-UHFFFAOYSA-N
